cve_estado,municipio
cam,Campeche
cam,Carmen
cam,Palizada
cam,Candelaria
cam,Escárcega
cam,Champotón
cam,Seybaplaya
cam,Hopelchén
cam,Calakmul
cam,Tenabo
cam,Hecelchakán
cam,Calkiní
cam,Dzitbalché
