cve_estado,municipio
tab,Centro
tab,"Jalpa de Méndez"
tab,Nacajuca
tab,Comalcalco
tab,Huimanguillo
tab,Cárdenas
tab,Paraíso
tab,Cunduacán
tab,Macuspana
tab,Centla
tab,Jonuta
tab,Teapa
tab,Jalapa
tab,Tacotalpa
tab,Tenosique
tab,Balancán
tab,"Emiliano Zapata"
